contribution,amount,pay_period
FICA/Social Security (OASDI),152.7,"2016,05"
Medicare Tax,35.71,"2016,05"
Retirement,294.93,"2016,05"
Non-Federal Retirement,0,"2016,05"
FEGLI,0,"2016,05"
Non-Federal Life Insurance,0,"2016,05"
FEHB,161.22,"2016,05"
Non-Federal Health Benefits,0,"2016,05"
TSP Basic,24.78,"2016,05"
TSP Matching,99.13,"2016,05"
Non-Federal 401K,0,"2016,05"
FICA/Social Security (OASDI),152.7,"2016,06"
Medicare Tax,35.71,"2016,06"
Retirement,294.93,"2016,06"
Non-Federal Retirement,0,"2016,06"
FEGLI,0,"2016,06"
Non-Federal Life Insurance,0,"2016,06"
FEHB,161.22,"2016,06"
Non-Federal Health Benefits,0,"2016,06"
TSP Basic,24.78,"2016,06"
TSP Matching,99.13,"2016,06"
Non-Federal 401K,0,"2016,06"
FICA/Social Security (OASDI),152.7,"2016,07"
Medicare Tax,35.71,"2016,07"
Retirement,294.93,"2016,07"
Non-Federal Retirement,0,"2016,07"
FEGLI,0,"2016,07"
Non-Federal Life Insurance,0,"2016,07"
FEHB,161.22,"2016,07"
Non-Federal Health Benefits,0,"2016,07"
TSP Basic,24.78,"2016,07"
TSP Matching,99.13,"2016,07"
Non-Federal 401K,0,"2016,07"
FICA/Social Security (OASDI),152.7,"2016,08"
Medicare Tax,35.71,"2016,08"
Retirement,294.93,"2016,08"
Non-Federal Retirement,0,"2016,08"
FEGLI,0,"2016,08"
Non-Federal Life Insurance,0,"2016,08"
FEHB,161.22,"2016,08"
Non-Federal Health Benefits,0,"2016,08"
TSP Basic,24.78,"2016,08"
TSP Matching,99.13,"2016,08"
Non-Federal 401K,0,"2016,08"
FICA/Social Security (OASDI),152.7,"2016,09"
Medicare Tax,35.71,"2016,09"
Retirement,294.93,"2016,09"
Non-Federal Retirement,0,"2016,09"
FEGLI,0,"2016,09"
Non-Federal Life Insurance,0,"2016,09"
FEHB,161.22,"2016,09"
Non-Federal Health Benefits,0,"2016,09"
TSP Basic,24.78,"2016,09"
TSP Matching,99.13,"2016,09"
Non-Federal 401K,0,"2016,09"
FICA/Social Security (OASDI),152.7,"2016,10"
Medicare Tax,35.71,"2016,10"
Retirement,294.93,"2016,10"
Non-Federal Retirement,0,"2016,10"
FEGLI,0,"2016,10"
Non-Federal Life Insurance,0,"2016,10"
FEHB,161.22,"2016,10"
Non-Federal Health Benefits,0,"2016,10"
TSP Basic,24.78,"2016,10"
TSP Matching,99.13,"2016,10"
Non-Federal 401K,0,"2016,10"
FICA/Social Security (OASDI),152.7,"2016,11"
Medicare Tax,35.71,"2016,11"
Retirement,294.93,"2016,11"
Non-Federal Retirement,0,"2016,11"
FEGLI,0,"2016,11"
Non-Federal Life Insurance,0,"2016,11"
FEHB,161.22,"2016,11"
Non-Federal Health Benefits,0,"2016,11"
TSP Basic,24.78,"2016,11"
TSP Matching,99.13,"2016,11"
Non-Federal 401K,0,"2016,11"
FICA/Social Security (OASDI),152.7,"2016,12"
Medicare Tax,35.71,"2016,12"
Retirement,294.93,"2016,12"
Non-Federal Retirement,0,"2016,12"
FEGLI,0,"2016,12"
Non-Federal Life Insurance,0,"2016,12"
FEHB,161.22,"2016,12"
Non-Federal Health Benefits,0,"2016,12"
TSP Basic,24.78,"2016,12"
TSP Matching,99.13,"2016,12"
Non-Federal 401K,0,"2016,12"
FICA/Social Security (OASDI),152.7,"2016,13"
Medicare Tax,35.71,"2016,13"
Retirement,294.93,"2016,13"
Non-Federal Retirement,0,"2016,13"
FEGLI,0,"2016,13"
Non-Federal Life Insurance,0,"2016,13"
FEHB,161.22,"2016,13"
Non-Federal Health Benefits,0,"2016,13"
TSP Basic,24.78,"2016,13"
TSP Matching,99.13,"2016,13"
Non-Federal 401K,0,"2016,13"
FICA/Social Security (OASDI),183.2,"2016,14"
Medicare Tax,42.85,"2016,14"
Retirement,353.48,"2016,14"
Non-Federal Retirement,0,"2016,14"
FEGLI,0,"2016,14"
Non-Federal Life Insurance,0,"2016,14"
FEHB,161.22,"2016,14"
Non-Federal Health Benefits,0,"2016,14"
TSP Basic,29.7,"2016,14"
TSP Matching,118.81,"2016,14"
Non-Federal 401K,0,"2016,14"
FICA/Social Security (OASDI),183.2,"2016,15"
Medicare Tax,42.85,"2016,15"
Retirement,353.48,"2016,15"
Non-Federal Retirement,0,"2016,15"
FEGLI,0,"2016,15"
Non-Federal Life Insurance,0,"2016,15"
FEHB,161.22,"2016,15"
Non-Federal Health Benefits,0,"2016,15"
TSP Basic,29.7,"2016,15"
TSP Matching,118.81,"2016,15"
Non-Federal 401K,0,"2016,15"
FICA/Social Security (OASDI),183.2,"2016,16"
Medicare Tax,42.85,"2016,16"
Retirement,353.48,"2016,16"
Non-Federal Retirement,0,"2016,16"
FEGLI,0,"2016,16"
Non-Federal Life Insurance,0,"2016,16"
FEHB,161.22,"2016,16"
Non-Federal Health Benefits,0,"2016,16"
TSP Basic,29.7,"2016,16"
TSP Matching,118.81,"2016,16"
Non-Federal 401K,0,"2016,16"
FICA/Social Security (OASDI),183.2,"2016,17"
Medicare Tax,42.85,"2016,17"
Retirement,353.48,"2016,17"
Non-Federal Retirement,0,"2016,17"
FEGLI,0,"2016,17"
Non-Federal Life Insurance,0,"2016,17"
FEHB,161.22,"2016,17"
Non-Federal Health Benefits,0,"2016,17"
TSP Basic,29.7,"2016,17"
TSP Matching,118.81,"2016,17"
Non-Federal 401K,0,"2016,17"
FICA/Social Security (OASDI),183.2,"2016,18"
Medicare Tax,42.85,"2016,18"
Retirement,353.48,"2016,18"
Non-Federal Retirement,0,"2016,18"
FEGLI,0,"2016,18"
Non-Federal Life Insurance,0,"2016,18"
FEHB,161.22,"2016,18"
Non-Federal Health Benefits,0,"2016,18"
TSP Basic,29.7,"2016,18"
TSP Matching,118.81,"2016,18"
Non-Federal 401K,0,"2016,18"
FICA/Social Security (OASDI),183.2,"2016,19"
Medicare Tax,42.85,"2016,19"
Retirement,353.48,"2016,19"
Non-Federal Retirement,0,"2016,19"
FEGLI,0,"2016,19"
Non-Federal Life Insurance,0,"2016,19"
FEHB,161.22,"2016,19"
Non-Federal Health Benefits,0,"2016,19"
TSP Basic,29.7,"2016,19"
TSP Matching,118.81,"2016,19"
Non-Federal 401K,0,"2016,19"
FICA/Social Security (OASDI),183.2,"2016,20"
Medicare Tax,42.85,"2016,20"
Retirement,353.48,"2016,20"
Non-Federal Retirement,0,"2016,20"
FEGLI,0,"2016,20"
Non-Federal Life Insurance,0,"2016,20"
FEHB,161.22,"2016,20"
Non-Federal Health Benefits,0,"2016,20"
TSP Basic,29.7,"2016,20"
TSP Matching,118.81,"2016,20"
Non-Federal 401K,0,"2016,20"
FICA/Social Security (OASDI),183.2,"2016,21"
Medicare Tax,42.85,"2016,21"
Retirement,353.48,"2016,21"
Non-Federal Retirement,0,"2016,21"
FEGLI,0,"2016,21"
Non-Federal Life Insurance,0,"2016,21"
FEHB,161.22,"2016,21"
Non-Federal Health Benefits,0,"2016,21"
TSP Basic,29.7,"2016,21"
TSP Matching,118.81,"2016,21"
Non-Federal 401K,0,"2016,21"
FICA/Social Security (OASDI),183.2,"2016,22"
Medicare Tax,42.85,"2016,22"
Retirement,353.48,"2016,22"
Non-Federal Retirement,0,"2016,22"
FEGLI,0,"2016,22"
Non-Federal Life Insurance,0,"2016,22"
FEHB,161.22,"2016,22"
Non-Federal Health Benefits,0,"2016,22"
TSP Basic,29.7,"2016,22"
TSP Matching,118.81,"2016,22"
Non-Federal 401K,0,"2016,22"
FICA/Social Security (OASDI),285.62,"2016,23"
Medicare Tax,66.8,"2016,23"
Retirement,353.48,"2016,23"
Non-Federal Retirement,0,"2016,23"
FEGLI,0,"2016,23"
Non-Federal Life Insurance,0,"2016,23"
FEHB,161.22,"2016,23"
Non-Federal Health Benefits,0,"2016,23"
TSP Basic,29.7,"2016,23"
TSP Matching,118.81,"2016,23"
Non-Federal 401K,0,"2016,23"
FICA/Social Security (OASDI),183.2,"2016,24"
Medicare Tax,42.85,"2016,24"
Retirement,353.48,"2016,24"
Non-Federal Retirement,0,"2016,24"
FEGLI,0,"2016,24"
Non-Federal Life Insurance,0,"2016,24"
FEHB,161.22,"2016,24"
Non-Federal Health Benefits,0,"2016,24"
TSP Basic,29.7,"2016,24"
TSP Matching,118.81,"2016,24"
Non-Federal 401K,0,"2016,24"
FICA/Social Security (OASDI),183.2,"2016,25"
Medicare Tax,42.85,"2016,25"
Retirement,353.48,"2016,25"
Non-Federal Retirement,0,"2016,25"
FEGLI,0,"2016,25"
Non-Federal Life Insurance,0,"2016,25"
FEHB,161.22,"2016,25"
Non-Federal Health Benefits,0,"2016,25"
TSP Basic,29.7,"2016,25"
TSP Matching,118.81,"2016,25"
Non-Federal 401K,0,"2016,25"
FICA/Social Security (OASDI),183.2,"2016,26"
Medicare Tax,42.85,"2016,26"
Retirement,353.48,"2016,26"
Non-Federal Retirement,0,"2016,26"
FEGLI,0,"2016,26"
Non-Federal Life Insurance,0,"2016,26"
FEHB,161.22,"2016,26"
Non-Federal Health Benefits,0,"2016,26"
TSP Basic,29.7,"2016,26"
TSP Matching,118.81,"2016,26"
Non-Federal 401K,0,"2016,26"
FICA/Social Security (OASDI),188.48,"2017,01"
Medicare Tax,44.08,"2017,01"
Retirement,363.66,"2017,01"
Non-Federal Retirement,0,"2017,01"
FEGLI,0,"2017,01"
Non-Federal Life Insurance,0,"2017,01"
FEHB,167.55,"2017,01"
Non-Federal Health Benefits,0,"2017,01"
TSP Basic,30.56,"2017,01"
TSP Matching,122.24,"2017,01"
Non-Federal 401K,0,"2017,01"
FICA/Social Security (OASDI),188.48,"2017,02"
Medicare Tax,44.08,"2017,02"
Retirement,363.66,"2017,02"
Non-Federal Retirement,0,"2017,02"
FEGLI,0,"2017,02"
Non-Federal Life Insurance,0,"2017,02"
FEHB,167.55,"2017,02"
Non-Federal Health Benefits,0,"2017,02"
TSP Basic,30.56,"2017,02"
TSP Matching,122.24,"2017,02"
Non-Federal 401K,0,"2017,02"
FICA/Social Security (OASDI),188.48,"2017,03"
Medicare Tax,44.08,"2017,03"
Retirement,363.66,"2017,03"
Non-Federal Retirement,0,"2017,03"
FEGLI,0,"2017,03"
Non-Federal Life Insurance,0,"2017,03"
FEHB,167.55,"2017,03"
Non-Federal Health Benefits,0,"2017,03"
TSP Basic,30.56,"2017,03"
TSP Matching,122.24,"2017,03"
Non-Federal 401K,0,"2017,03"
FICA/Social Security (OASDI),188.48,"2017,04"
Medicare Tax,44.08,"2017,04"
Retirement,363.66,"2017,04"
Non-Federal Retirement,0,"2017,04"
FEGLI,0,"2017,04"
Non-Federal Life Insurance,0,"2017,04"
FEHB,167.55,"2017,04"
Non-Federal Health Benefits,0,"2017,04"
TSP Basic,30.56,"2017,04"
TSP Matching,122.24,"2017,04"
Non-Federal 401K,0,"2017,04"
FICA/Social Security (OASDI),188.48,"2017,05"
Medicare Tax,44.08,"2017,05"
Retirement,363.66,"2017,05"
Non-Federal Retirement,0,"2017,05"
FEGLI,0,"2017,05"
Non-Federal Life Insurance,0,"2017,05"
FEHB,167.55,"2017,05"
Non-Federal Health Benefits,0,"2017,05"
TSP Basic,30.56,"2017,05"
TSP Matching,122.24,"2017,05"
Non-Federal 401K,0,"2017,05"
FICA/Social Security (OASDI),188.48,"2017,06"
Medicare Tax,44.08,"2017,06"
Retirement,363.66,"2017,06"
Non-Federal Retirement,0,"2017,06"
FEGLI,0,"2017,06"
Non-Federal Life Insurance,0,"2017,06"
FEHB,167.55,"2017,06"
Non-Federal Health Benefits,0,"2017,06"
TSP Basic,30.56,"2017,06"
TSP Matching,122.24,"2017,06"
Non-Federal 401K,0,"2017,06"
FICA/Social Security (OASDI),188.48,"2017,07"
Medicare Tax,44.08,"2017,07"
Retirement,363.66,"2017,07"
Non-Federal Retirement,0,"2017,07"
FEGLI,0,"2017,07"
Non-Federal Life Insurance,0,"2017,07"
FEHB,167.55,"2017,07"
Non-Federal Health Benefits,0,"2017,07"
TSP Basic,30.56,"2017,07"
TSP Matching,122.24,"2017,07"
Non-Federal 401K,0,"2017,07"
FICA/Social Security (OASDI),188.48,"2017,08"
Medicare Tax,44.08,"2017,08"
Retirement,363.66,"2017,08"
Non-Federal Retirement,0,"2017,08"
FEGLI,0,"2017,08"
Non-Federal Life Insurance,0,"2017,08"
FEHB,167.55,"2017,08"
Non-Federal Health Benefits,0,"2017,08"
TSP Basic,30.56,"2017,08"
TSP Matching,122.24,"2017,08"
Non-Federal 401K,0,"2017,08"
FICA/Social Security (OASDI),188.48,"2017,09"
Medicare Tax,44.08,"2017,09"
Retirement,363.66,"2017,09"
Non-Federal Retirement,0,"2017,09"
FEGLI,0,"2017,09"
Non-Federal Life Insurance,0,"2017,09"
FEHB,167.55,"2017,09"
Non-Federal Health Benefits,0,"2017,09"
TSP Basic,30.56,"2017,09"
TSP Matching,122.24,"2017,09"
Non-Federal 401K,0,"2017,09"
FICA/Social Security (OASDI),188.48,"2017,10"
Medicare Tax,44.08,"2017,10"
Retirement,363.66,"2017,10"
Non-Federal Retirement,0,"2017,10"
FEGLI,0,"2017,10"
Non-Federal Life Insurance,0,"2017,10"
FEHB,167.55,"2017,10"
Non-Federal Health Benefits,0,"2017,10"
TSP Basic,30.56,"2017,10"
TSP Matching,122.24,"2017,10"
Non-Federal 401K,0,"2017,10"
FICA/Social Security (OASDI),188.48,"2017,11"
Medicare Tax,44.08,"2017,11"
Retirement,363.66,"2017,11"
Non-Federal Retirement,0,"2017,11"
FEGLI,0,"2017,11"
Non-Federal Life Insurance,0,"2017,11"
FEHB,167.55,"2017,11"
Non-Federal Health Benefits,0,"2017,11"
TSP Basic,30.56,"2017,11"
TSP Matching,122.24,"2017,11"
Non-Federal 401K,0,"2017,11"
FICA/Social Security (OASDI),188.48,"2017,12"
Medicare Tax,44.08,"2017,12"
Retirement,363.66,"2017,12"
Non-Federal Retirement,0,"2017,12"
FEGLI,0,"2017,12"
Non-Federal Life Insurance,0,"2017,12"
FEHB,167.55,"2017,12"
Non-Federal Health Benefits,0,"2017,12"
TSP Basic,30.56,"2017,12"
TSP Matching,122.24,"2017,12"
Non-Federal 401K,0,"2017,12"
FICA/Social Security (OASDI),188.48,"2017,13"
Medicare Tax,44.08,"2017,13"
Retirement,363.66,"2017,13"
Non-Federal Retirement,0,"2017,13"
FEGLI,0,"2017,13"
Non-Federal Life Insurance,0,"2017,13"
FEHB,167.55,"2017,13"
Non-Federal Health Benefits,0,"2017,13"
TSP Basic,30.56,"2017,13"
TSP Matching,122.24,"2017,13"
Non-Federal 401K,0,"2017,13"
FICA/Social Security (OASDI),194.78,"2017,14"
Medicare Tax,45.55,"2017,14"
Retirement,375.75,"2017,14"
Non-Federal Retirement,0,"2017,14"
FEGLI,0,"2017,14"
Non-Federal Life Insurance,0,"2017,14"
FEHB,167.55,"2017,14"
Non-Federal Health Benefits,0,"2017,14"
TSP Basic,31.58,"2017,14"
TSP Matching,126.31,"2017,14"
Non-Federal 401K,0,"2017,14"
FICA/Social Security (OASDI),194.78,"2017,15"
Medicare Tax,45.55,"2017,15"
Retirement,375.75,"2017,15"
Non-Federal Retirement,0,"2017,15"
FEGLI,0,"2017,15"
Non-Federal Life Insurance,0,"2017,15"
FEHB,167.55,"2017,15"
Non-Federal Health Benefits,0,"2017,15"
TSP Basic,31.58,"2017,15"
TSP Matching,126.31,"2017,15"
Non-Federal 401K,0,"2017,15"
FICA/Social Security (OASDI),194.78,"2017,16"
Medicare Tax,45.55,"2017,16"
Retirement,375.75,"2017,16"
Non-Federal Retirement,0,"2017,16"
FEGLI,0,"2017,16"
Non-Federal Life Insurance,0,"2017,16"
FEHB,167.55,"2017,16"
Non-Federal Health Benefits,0,"2017,16"
TSP Basic,31.58,"2017,16"
TSP Matching,126.31,"2017,16"
Non-Federal 401K,0,"2017,16"
FICA/Social Security (OASDI),194.78,"2017,17"
Medicare Tax,45.55,"2017,17"
Retirement,375.75,"2017,17"
Non-Federal Retirement,0,"2017,17"
FEGLI,0,"2017,17"
Non-Federal Life Insurance,0,"2017,17"
FEHB,167.55,"2017,17"
Non-Federal Health Benefits,0,"2017,17"
TSP Basic,31.58,"2017,17"
TSP Matching,126.31,"2017,17"
Non-Federal 401K,0,"2017,17"
FICA/Social Security (OASDI),194.78,"2017,18"
Medicare Tax,45.55,"2017,18"
Retirement,375.75,"2017,18"
Non-Federal Retirement,0,"2017,18"
FEGLI,0,"2017,18"
Non-Federal Life Insurance,0,"2017,18"
FEHB,167.55,"2017,18"
Non-Federal Health Benefits,0,"2017,18"
TSP Basic,31.58,"2017,18"
TSP Matching,126.31,"2017,18"
Non-Federal 401K,0,"2017,18"
FICA/Social Security (OASDI),194.78,"2017,19"
Medicare Tax,45.55,"2017,19"
Retirement,375.75,"2017,19"
Non-Federal Retirement,0,"2017,19"
FEGLI,0,"2017,19"
Non-Federal Life Insurance,0,"2017,19"
FEHB,167.55,"2017,19"
Non-Federal Health Benefits,0,"2017,19"
TSP Basic,31.58,"2017,19"
TSP Matching,126.31,"2017,19"
Non-Federal 401K,0,"2017,19"
FICA/Social Security (OASDI),194.78,"2017,20"
Medicare Tax,45.55,"2017,20"
Retirement,375.75,"2017,20"
Non-Federal Retirement,0,"2017,20"
FEGLI,0,"2017,20"
Non-Federal Life Insurance,0,"2017,20"
FEHB,167.55,"2017,20"
Non-Federal Health Benefits,0,"2017,20"
TSP Basic,31.58,"2017,20"
TSP Matching,126.31,"2017,20"
Non-Federal 401K,0,"2017,20"
FICA/Social Security (OASDI),194.78,"2017,21"
Medicare Tax,45.55,"2017,21"
Retirement,375.75,"2017,21"
Non-Federal Retirement,0,"2017,21"
FEGLI,0,"2017,21"
Non-Federal Life Insurance,0,"2017,21"
FEHB,167.55,"2017,21"
Non-Federal Health Benefits,0,"2017,21"
TSP Basic,31.58,"2017,21"
TSP Matching,126.31,"2017,21"
