code,description,hours_pp,hours_ytd,amount_pp,amount_ytd,pay_period
1,REGULAR TIME,80,80,"1,999.20","1,999.20","2014,14"
75,RETIREMENT,,,87.96,87.96,"2014,14"
76,SOCIAL SECURITY (OASDI),,,123.95,123.95,"2014,14"
77,FEDERAL TAX EXEMPTS S02,,,242.83,242.83,"2014,14"
78,ST TAX DC EXEMPTS S01,,,118.3,118.3,"2014,14"
97,MEDICARE TAX WITHHELD,,,28.99,28.99,"2014,14"
1,REGULAR TIME,80,160,"1,999.20","3,998.40","2014,15"
75,RETIREMENT,,,87.96,175.92,"2014,15"
76,SOCIAL SECURITY (OASDI),,,123.95,247.9,"2014,15"
77,FEDERAL TAX EXEMPTS S02,,,242.83,485.66,"2014,15"
78,ST TAX DC EXEMPTS S01,,,118.3,236.6,"2014,15"
88,CHKING/SAVING ********,,,13,13,"2014,15"
97,MEDICARE TAX WITHHELD,,,28.99,57.98,"2014,15"
1,REGULAR TIME,80,240,"1,999.20","5,997.60","2014,16"
75,RETIREMENT,,,87.96,263.88,"2014,16"
76,SOCIAL SECURITY (OASDI),,,123.95,371.85,"2014,16"
77,FEDERAL TAX EXEMPTS S02,,,242.83,728.49,"2014,16"
78,ST TAX DC EXEMPTS S01,,,118.3,354.9,"2014,16"
88,CHKING/SAVING ********,,,13,26,"2014,16"
97,MEDICARE TAX WITHHELD,,,28.99,86.97,"2014,16"
1,REGULAR TIME,70.25,310.25,"1,755.55","7,753.15","2014,17"
66,OTHER LEAVE,9.75,9.75,243.65,243.65,"2014,17"
75,RETIREMENT,,,87.96,351.84,"2014,17"
76,SOCIAL SECURITY (OASDI),,,123.95,495.8,"2014,17"
77,FEDERAL TAX EXEMPTS S02,,,242.83,971.32,"2014,17"
78,ST TAX DC EXEMPTS S01,,,118.3,473.2,"2014,17"
88,CHKING/SAVING ********,,,13,39,"2014,17"
97,MEDICARE TAX WITHHELD,,,28.99,115.96,"2014,17"
1,REGULAR TIME,80,390.25,"1,999.20","9,752.35","2014,18"
66,OTHER LEAVE,,9.75,,243.65,"2014,18"
75,RETIREMENT,,,87.96,439.8,"2014,18"
75,TSP-FERS,,,99.96,99.96,"2014,18"
76,SOCIAL SECURITY (OASDI),,,123.95,619.75,"2014,18"
77,FEDERAL TAX EXEMPTS S02,,,217.84,"1,189.16","2014,18"
78,ST TAX DC EXEMPTS S01,,,109.81,583.01,"2014,18"
88,CHKING/SAVING ********,,,13,52,"2014,18"
97,MEDICARE TAX WITHHELD,,,28.99,144.95,"2014,18"
1,REGULAR TIME,80,470.25,"1,999.20","11,751.55","2014,19"
66,OTHER LEAVE,,9.75,,243.65,"2014,19"
75,RETIREMENT,,,87.96,527.76,"2014,19"
75,TSP-FERS,,,99.96,199.92,"2014,19"
76,SOCIAL SECURITY (OASDI),,,123.95,743.7,"2014,19"
77,FEDERAL TAX EXEMPTS S02,,,217.84,"1,407.00","2014,19"
78,ST TAX DC EXEMPTS S01,,,109.81,692.82,"2014,19"
88,CHKING/SAVING ********,,,13,65,"2014,19"
97,MEDICARE TAX WITHHELD,,,28.99,173.94,"2014,19"
1,REGULAR TIME,72,542.25,"1,799.28","13,550.83","2014,20"
66,OTHER LEAVE,8,17.75,199.92,443.57,"2014,20"
75,RETIREMENT,,,87.96,615.72,"2014,20"
75,TSP-FERS,,,99.96,299.88,"2014,20"
76,SOCIAL SECURITY (OASDI),,,123.95,867.65,"2014,20"
77,FEDERAL TAX EXEMPTS S02,,,217.84,"1,624.84","2014,20"
78,ST TAX DC EXEMPTS S01,,,109.81,802.63,"2014,20"
88,CHKING/SAVING ********,,,13,78,"2014,20"
97,MEDICARE TAX WITHHELD,,,28.99,202.93,"2014,20"
1,REGULAR TIME,80,622.25,"1,999.20","15,550.03","2014,21"
66,OTHER LEAVE,,17.75,,443.57,"2014,21"
75,RETIREMENT,,,87.96,703.68,"2014,21"
75,TSP-FERS,,,99.96,399.84,"2014,21"
76,SOCIAL SECURITY (OASDI),,,123.95,991.6,"2014,21"
77,FEDERAL TAX EXEMPTS S02,,,217.84,"1,842.68","2014,21"
78,ST TAX DC EXEMPTS S01,,,109.81,912.44,"2014,21"
88,CHKING/SAVING ********,,,13,91,"2014,21"
97,MEDICARE TAX WITHHELD,,,28.99,231.92,"2014,21"
1,REGULAR TIME,72,694.25,"1,799.28","17,349.31","2014,22"
66,OTHER LEAVE,8,25.75,199.92,643.49,"2014,22"
75,RETIREMENT,,,87.96,791.64,"2014,22"
75,TSP-FERS,,,99.96,499.8,"2014,22"
76,SOCIAL SECURITY (OASDI),,,123.95,"1,115.55","2014,22"
77,FEDERAL TAX EXEMPTS S02,,,217.84,"2,060.52","2014,22"
78,ST TAX DC EXEMPTS S01,,,109.81,"1,022.25","2014,22"
88,CHKING/SAVING ********,,,13,104,"2014,22"
97,MEDICARE TAX WITHHELD,,,28.99,260.91,"2014,22"
1,REGULAR TIME,70,764.25,"1,749.30","19,098.61","2014,23"
66,OTHER LEAVE,10,35.75,249.9,893.39,"2014,23"
75,RETIREMENT,,,87.96,879.6,"2014,23"
75,TSP-FERS,,,99.96,599.76,"2014,23"
76,SOCIAL SECURITY (OASDI),,,123.95,"1,239.50","2014,23"
77,FEDERAL TAX EXEMPTS S02,,,217.84,"2,278.36","2014,23"
78,ST TAX DC EXEMPTS S01,,,109.81,"1,132.06","2014,23"
88,CHKING/SAVING ********,,,13,117,"2014,23"
97,MEDICARE TAX WITHHELD,,,28.99,289.9,"2014,23"
1,REGULAR TIME,80,844.25,"1,999.20","21,097.81","2014,24"
66,OTHER LEAVE,,35.75,,893.39,"2014,24"
75,RETIREMENT,,,87.96,967.56,"2014,24"
75,TSP-FERS,,,,599.76,"2014,24"
75,ROTH TSP-FERS,,,99.96,99.96,"2014,24"
76,SOCIAL SECURITY (OASDI),,,123.95,"1,363.45","2014,24"
77,FEDERAL TAX EXEMPTS S02,,,242.83,"2,521.19","2014,24"
78,ST TAX DC EXEMPTS S01,,,118.3,"1,250.36","2014,24"
88,CHKING/SAVING ********,,,14,131,"2014,24"
97,MEDICARE TAX WITHHELD,,,28.99,318.89,"2014,24"
1,REGULAR TIME,59.5,59.5,"1,486.90","1,486.90","2014,25"
50,CREDIT HOURS,1.5,1.5,37.49,37.49,"2014,25"
66,OTHER LEAVE,19,19,474.81,474.81,"2014,25"
75,RETIREMENT,,,87.96,87.96,"2014,25"
75,ROTH TSP-FERS,,,99.96,99.96,"2014,25"
76,SS (OASDI) RATE CHANGE,,,123.95,123.95,"2014,25"
77,FEDERAL TAX EXEMPTS S02,,,238.98,238.98,"2014,25"
78,ST TAX DC EXEMPTS S01,,,118.3,118.3,"2014,25"
88,CHKING/SAVING ********,,,14,14,"2014,25"
97,MEDICARE TAX WITHHELD,,,28.99,28.99,"2014,25"
1,REGULAR TIME,62,121.5,"1,549.38","3,036.28","2014,26"
50,CREDIT HOURS,,1.5,,37.49,"2014,26"
61,ANNUAL LEAVE,8,8,199.92,199.92,"2014,26"
66,OTHER LEAVE,10,29,249.9,724.71,"2014,26"
75,RETIREMENT,,,87.96,175.92,"2014,26"
75,ROTH TSP-FERS,,,99.96,199.92,"2014,26"
76,SOCIAL SECURITY (OASDI),,,123.95,247.9,"2014,26"
77,FEDERAL TAX EXEMPTS S02,,,238.98,477.96,"2014,26"
78,ST TAX DC EXEMPTS S01,,,118.3,236.6,"2014,26"
88,CHKING/SAVING ********,,,14,28,"2014,26"
97,MEDICARE TAX WITHHELD,,,28.99,57.98,"2014,26"
1,REGULAR TIME,70,191.5,"1,766.80","4,803.08","2015,01"
50,CREDIT HOURS,,1.5,,37.49,"2015,01"
61,ANNUAL LEAVE,,8,,199.92,"2015,01"
66,OTHER LEAVE,10,39,252.4,977.11,"2015,01"
75,RETIREMENT,,,88.84,264.76,"2015,01"
75,ROTH TSP-FERS,,,100.96,300.88,"2015,01"
76,SOCIAL SECURITY (OASDI),,,125.19,373.09,"2015,01"
77,FEDERAL TAX EXEMPTS S01,,,282.44,760.4,"2015,01"
78,ST TAX DC EXEMPTS S01,,,120,356.6,"2015,01"
83,FEHBA - ENROLL CODE E34,,,45.38,45.38,"2015,01"
88,CHKING/SAVING ********,,,14,42,"2015,01"
97,MEDICARE TAX WITHHELD,,,29.28,87.26,"2015,01"
1,REGULAR TIME,79,270.5,"1,993.96","6,797.04","2015,02"
50,CREDIT HOURS,,1.5,,37.49,"2015,02"
61,ANNUAL LEAVE,,8,,199.92,"2015,02"
66,OTHER LEAVE,1,40,25.24,"1,002.35","2015,02"
75,RETIREMENT,,,88.84,353.6,"2015,02"
75,ROTH TSP-FERS,,,100.96,401.84,"2015,02"
76,SOCIAL SECURITY (OASDI),,,125.19,498.28,"2015,02"
77,FEDERAL TAX EXEMPTS S01,,,282.44,"1,042.84","2015,02"
78,ST TAX DC EXEMPTS S01,,,120,476.6,"2015,02"
83,FEHBA - ENROLL CODE E34,,,45.38,90.76,"2015,02"
88,CHKING/SAVING ********,,,14,56,"2015,02"
97,MEDICARE TAX WITHHELD,,,29.28,116.54,"2015,02"
1,REGULAR TIME,64,334.5,"1,615.36","8,412.40","2015,03"
50,CREDIT HOURS,,1.5,,37.49,"2015,03"
61,ANNUAL LEAVE,,8,,199.92,"2015,03"
66,OTHER LEAVE,16,56,403.84,"1,406.19","2015,03"
75,RETIREMENT,,,88.84,442.44,"2015,03"
75,ROTH TSP-FERS,,,100.96,502.8,"2015,03"
76,SOCIAL SECURITY (OASDI),,,125.19,623.47,"2015,03"
77,FEDERAL TAX EXEMPTS S01,,,282.44,"1,325.28","2015,03"
78,ST TAX DC EXEMPTS S01,,,120,596.6,"2015,03"
83,FEHBA - ENROLL CODE E34,,,45.38,136.14,"2015,03"
88,CHKING/SAVING ********,,,14,70,"2015,03"
97,MEDICARE TAX WITHHELD,,,29.28,145.82,"2015,03"
1,REGULAR TIME,69.5,404,"1,754.18","10,166.58","2015,04"
50,CREDIT HOURS,,1.5,,37.49,"2015,04"
61,ANNUAL LEAVE,,8,,199.92,"2015,04"
66,OTHER LEAVE,10.5,66.5,265.02,"1,671.21","2015,04"
75,RETIREMENT,,,88.84,531.28,"2015,04"
75,ROTH TSP-FERS,,,100.96,603.76,"2015,04"
76,SOCIAL SECURITY (OASDI),,,125.19,748.66,"2015,04"
77,FEDERAL TAX EXEMPTS S01,,,282.44,"1,607.72","2015,04"
78,ST TAX DC EXEMPTS S01,,,120,716.6,"2015,04"
83,FEHBA - ENROLL CODE E34,,,45.38,181.52,"2015,04"
88,CHKING/SAVING ********,,,14,84,"2015,04"
97,MEDICARE TAX WITHHELD,,,29.28,175.1,"2015,04"
1,REGULAR TIME,71.75,475.75,"1,810.97","11,977.55","2015,05"
50,CREDIT HOURS,0.25,1.75,6.31,43.8,"2015,05"
61,ANNUAL LEAVE,8,16,201.92,401.84,"2015,05"
66,OTHER LEAVE,,66.5,,"1,671.21","2015,05"
75,RETIREMENT,,,88.84,620.12,"2015,05"
75,ROTH TSP-FERS,,,100.96,704.72,"2015,05"
76,SOCIAL SECURITY (OASDI),,,125.19,873.85,"2015,05"
77,FEDERAL TAX EXEMPTS S01,,,282.44,"1,890.16","2015,05"
78,ST TAX DC EXEMPTS S01,,,120,836.6,"2015,05"
83,FEHBA - ENROLL CODE E34,,,45.38,226.9,"2015,05"
88,CHKING/SAVING ********,,,14,98,"2015,05"
97,MEDICARE TAX WITHHELD,,,29.28,204.38,"2015,05"
1,REGULAR TIME,80,555.75,"2,019.20","13,996.75","2015,06"
50,CREDIT HOURS,,1.75,,43.8,"2015,06"
61,ANNUAL LEAVE,,16,,401.84,"2015,06"
66,OTHER LEAVE,,66.5,,"1,671.21","2015,06"
75,RETIREMENT,,,88.84,708.96,"2015,06"
75,ROTH TSP-FERS,,,100.96,805.68,"2015,06"
76,SOCIAL SECURITY (OASDI),,,125.19,999.04,"2015,06"
77,FEDERAL TAX EXEMPTS S01,,,282.44,"2,172.60","2015,06"
78,ST TAX DC EXEMPTS S01,,,120,956.6,"2015,06"
83,FEHBA - ENROLL CODE E34,,,45.38,272.28,"2015,06"
88,CHKING/SAVING ********,,,14,112,"2015,06"
97,MEDICARE TAX WITHHELD,,,29.28,233.66,"2015,06"
1,REGULAR TIME,80,635.75,"2,019.20","16,015.95","2015,07"
50,CREDIT HOURS,,1.75,,43.8,"2015,07"
61,ANNUAL LEAVE,,16,,401.84,"2015,07"
66,OTHER LEAVE,,66.5,,"1,671.21","2015,07"
75,RETIREMENT,,,88.84,797.8,"2015,07"
75,ROTH TSP-FERS,,,100.96,906.64,"2015,07"
76,SOCIAL SECURITY (OASDI),,,125.19,"1,124.23","2015,07"
77,FEDERAL TAX EXEMPTS S01,,,282.44,"2,455.04","2015,07"
78,ST TAX DC EXEMPTS S01,,,120,"1,076.60","2015,07"
83,FEHBA - ENROLL CODE E34,,,45.38,317.66,"2015,07"
88,CHKING/SAVING ********,,,14,126,"2015,07"
97,MEDICARE TAX WITHHELD,,,29.28,262.94,"2015,07"
1,REGULAR TIME,76.75,712.5,"1,937.17","17,953.12","2015,08"
50,CREDIT HOURS,,1.75,,43.8,"2015,08"
61,ANNUAL LEAVE,,16,,401.84,"2015,08"
62,SICK LEAVE,3.25,3.25,82.03,82.03,"2015,08"
66,OTHER LEAVE,,66.5,,"1,671.21","2015,08"
75,RETIREMENT,,,88.84,886.64,"2015,08"
75,ROTH TSP-FERS,,,100.96,"1,007.60","2015,08"
76,SOCIAL SECURITY (OASDI),,,125.19,"1,249.42","2015,08"
77,FEDERAL TAX EXEMPTS S01,,,282.44,"2,737.48","2015,08"
78,ST TAX DC EXEMPTS S01,,,120,"1,196.60","2015,08"
83,FEHBA - ENROLL CODE E34,,,45.38,363.04,"2015,08"
88,CHKING/SAVING ********,,,14,140,"2015,08"
97,MEDICARE TAX WITHHELD,,,29.28,292.22,"2015,08"
1,REGULAR TIME,80,792.5,"2,019.20","19,972.32","2015,09"
50,CREDIT HOURS,,1.75,,43.8,"2015,09"
61,ANNUAL LEAVE,,16,,401.84,"2015,09"
62,SICK LEAVE,,3.25,,82.03,"2015,09"
66,OTHER LEAVE,,66.5,,"1,671.21","2015,09"
75,RETIREMENT,,,88.84,975.48,"2015,09"
75,ROTH TSP-FERS,,,100.96,"1,108.56","2015,09"
76,SOCIAL SECURITY (OASDI),,,125.19,"1,374.61","2015,09"
77,FEDERAL TAX EXEMPTS S01,,,282.44,"3,019.92","2015,09"
78,ST TAX DC EXEMPTS S01,,,120,"1,316.60","2015,09"
83,FEHBA - ENROLL CODE E34,,,45.38,408.42,"2015,09"
88,CHKING/SAVING ********,,,14,154,"2015,09"
97,MEDICARE TAX WITHHELD,,,29.28,321.5,"2015,09"
1,REGULAR TIME,70.25,862.75,"1,773.11","21,745.43","2015,10"
50,CREDIT HOURS,,1.75,,43.8,"2015,10"
61,ANNUAL LEAVE,,16,,401.84,"2015,10"
62,SICK LEAVE,,3.25,,82.03,"2015,10"
66,OTHER LEAVE,9.75,76.25,246.09,"1,917.30","2015,10"
75,RETIREMENT,,,88.84,"1,064.32","2015,10"
75,ROTH TSP-FERS,,,100.96,"1,209.52","2015,10"
76,SOCIAL SECURITY (OASDI),,,125.19,"1,499.80","2015,10"
77,FEDERAL TAX EXEMPTS S01,,,282.44,"3,302.36","2015,10"
78,ST TAX DC EXEMPTS S01,,,120,"1,436.60","2015,10"
83,FEHBA - ENROLL CODE E34,,,45.38,453.8,"2015,10"
88,CHKING/SAVING ********,,,14,168,"2015,10"
97,MEDICARE TAX WITHHELD,,,29.28,350.78,"2015,10"
1,REGULAR TIME,76.75,939.5,"1,937.17","23,682.60","2015,11"
50,CREDIT HOURS,3.25,5,82.03,125.83,"2015,11"
61,ANNUAL LEAVE,,16,,401.84,"2015,11"
62,SICK LEAVE,,3.25,,82.03,"2015,11"
66,OTHER LEAVE,,76.25,,"1,917.30","2015,11"
75,RETIREMENT,,,88.84,"1,153.16","2015,11"
75,ROTH TSP-FERS,,,100.96,"1,310.48","2015,11"
76,SOCIAL SECURITY (OASDI),,,125.19,"1,624.99","2015,11"
77,FEDERAL TAX EXEMPTS S01,,,282.44,"3,584.80","2015,11"
78,ST TAX DC EXEMPTS S01,,,120,"1,556.60","2015,11"
83,FEHBA - ENROLL CODE E34,,,45.38,499.18,"2015,11"
88,CHKING/SAVING ********,,,14,182,"2015,11"
97,MEDICARE TAX WITHHELD,,,29.28,380.06,"2015,11"
1,REGULAR TIME,80,"1,019.50","2,019.20","25,701.80","2015,12"
50,CREDIT HOURS,,5,,125.83,"2015,12"
61,ANNUAL LEAVE,,16,,401.84,"2015,12"
62,SICK LEAVE,,3.25,,82.03,"2015,12"
66,OTHER LEAVE,,76.25,,"1,917.30","2015,12"
75,RETIREMENT,,,88.84,"1,242.00","2015,12"
75,ROTH TSP-FERS,,,100.96,"1,411.44","2015,12"
76,SOCIAL SECURITY (OASDI),,,125.19,"1,750.18","2015,12"
77,FEDERAL TAX EXEMPTS S01,,,282.44,"3,867.24","2015,12"
78,ST TAX DC EXEMPTS S01,,,120,"1,676.60","2015,12"
83,FEHBA - ENROLL CODE E34,,,45.38,544.56,"2015,12"
88,CHKING/SAVING ********,,,14,196,"2015,12"
97,MEDICARE TAX WITHHELD,,,29.28,409.34,"2015,12"
1,REGULAR TIME,70,"1,089.50","1,766.80","27,468.60","2015,13"
50,CREDIT HOURS,,5,,125.83,"2015,13"
61,ANNUAL LEAVE,,16,,401.84,"2015,13"
62,SICK LEAVE,,3.25,,82.03,"2015,13"
66,OTHER LEAVE,10,86.25,252.4,"2,169.70","2015,13"
75,RETIREMENT,,,88.84,"1,330.84","2015,13"
75,ROTH TSP-FERS,,,100.96,"1,512.40","2015,13"
76,SOCIAL SECURITY (OASDI),,,125.19,"1,875.37","2015,13"
77,FEDERAL TAX EXEMPTS S01,,,282.44,"4,149.68","2015,13"
78,ST TAX DC EXEMPTS S01,,,113.49,"1,790.09","2015,13"
83,FEHBA - ENROLL CODE E34,,,45.38,589.94,"2015,13"
88,CHKING/SAVING ********,,,14,210,"2015,13"
97,MEDICARE TAX WITHHELD,,,29.28,438.62,"2015,13"
1,REGULAR TIME,80,"1,169.50","2,442.40","29,911.00","2015,14"
50,CREDIT HOURS,,5,,125.83,"2015,14"
61,ANNUAL LEAVE,,16,,401.84,"2015,14"
62,SICK LEAVE,,3.25,,82.03,"2015,14"
66,OTHER LEAVE,,86.25,,"2,169.70","2015,14"
75,RETIREMENT,,,107.47,"1,438.31","2015,14"
75,ROTH TSP-FERS,,,122.12,"1,634.52","2015,14"
76,SOCIAL SECURITY (OASDI),,,151.43,"2,026.80","2015,14"
77,FEDERAL TAX EXEMPTS S01,,,388.24,"4,537.92","2015,14"
78,ST TAX DC EXEMPTS S01,,,144.11,"1,934.20","2015,14"
83,FEHBA - ENROLL CODE E34,,,45.38,635.32,"2015,14"
88,CHKING/SAVING ********,,,14,224,"2015,14"
97,MEDICARE TAX WITHHELD,,,35.41,474.03,"2015,14"
1,REGULAR TIME,69.5,"1,239.00","2,121.83","32,032.83","2015,15"
50,CREDIT HOURS,6.5,11.5,198.45,324.28,"2015,15"
61,ANNUAL LEAVE,,16,,401.84,"2015,15"
62,SICK LEAVE,4,7.25,122.12,204.15,"2015,15"
66,OTHER LEAVE,,86.25,,"2,169.70","2015,15"
75,RETIREMENT,,,107.47,"1,545.78","2015,15"
75,ROTH TSP-FERS,,,122.12,"1,756.64","2015,15"
76,SOCIAL SECURITY (OASDI),,,151.43,"2,178.23","2015,15"
77,FEDERAL TAX EXEMPTS S01,,,388.24,"4,926.16","2015,15"
78,ST TAX DC EXEMPTS S01,,,144.11,"2,078.31","2015,15"
83,FEHBA - ENROLL CODE E34,,,45.38,680.7,"2015,15"
88,CHKING/SAVING ********,,,14,238,"2015,15"
97,MEDICARE TAX WITHHELD,,,35.41,509.44,"2015,15"
1,REGULAR TIME,80,"1,319.00","2,442.40","34,475.23","2015,16"
50,CREDIT HOURS,,11.5,,324.28,"2015,16"
61,ANNUAL LEAVE,,16,,401.84,"2015,16"
62,SICK LEAVE,,7.25,,204.15,"2015,16"
66,OTHER LEAVE,,86.25,,"2,169.70","2015,16"
75,RETIREMENT,,,107.47,"1,653.25","2015,16"
75,ROTH TSP-FERS,,,122.12,"1,878.76","2015,16"
76,SOCIAL SECURITY (OASDI),,,151.43,"2,329.66","2015,16"
77,FEDERAL TAX EXEMPTS S01,,,388.24,"5,314.40","2015,16"
78,ST TAX DC EXEMPTS S01,,,144.11,"2,222.42","2015,16"
83,FEHBA - ENROLL CODE E34,,,45.38,726.08,"2015,16"
88,CHKING/SAVING ********,,,14,252,"2015,16"
97,MEDICARE TAX WITHHELD,,,35.41,544.85,"2015,16"
1,REGULAR TIME,71.25,"1,390.25","2,175.26","36,650.49","2015,17"
50,CREDIT HOURS,8.75,20.25,267.14,591.42,"2015,17"
61,ANNUAL LEAVE,,16,,401.84,"2015,17"
62,SICK LEAVE,,7.25,,204.15,"2015,17"
66,OTHER LEAVE,,86.25,,"2,169.70","2015,17"
75,RETIREMENT,,,107.47,"1,760.72","2015,17"
75,ROTH TSP-FERS,,,122.12,"2,000.88","2015,17"
76,SOCIAL SECURITY (OASDI),,,151.43,"2,481.09","2015,17"
77,FEDERAL TAX EXEMPTS S01,,,388.24,"5,702.64","2015,17"
78,ST TAX DC EXEMPTS S01,,,144.11,"2,366.53","2015,17"
83,FEHBA - ENROLL CODE E34,,,45.38,771.46,"2015,17"
88,CHKING/SAVING ********,,,14,266,"2015,17"
97,MEDICARE TAX WITHHELD,,,35.41,580.26,"2015,17"
1,REGULAR TIME,51.25,"1,441.50","1,564.66","38,215.15","2015,18"
50,CREDIT HOURS,4.75,25,145.02,736.44,"2015,18"
61,ANNUAL LEAVE,16,32,488.48,890.32,"2015,18"
62,SICK LEAVE,,7.25,,204.15,"2015,18"
66,OTHER LEAVE,8,94.25,244.24,"2,413.94","2015,18"
75,RETIREMENT,,,107.47,"1,868.19","2015,18"
75,ROTH TSP-FERS,,,122.12,"2,123.00","2015,18"
76,SOCIAL SECURITY (OASDI),,,151.43,"2,632.52","2015,18"
77,FEDERAL TAX EXEMPTS S01,,,388.24,"6,090.88","2015,18"
78,ST TAX DC EXEMPTS S01,,,144.11,"2,510.64","2015,18"
83,FEHBA - ENROLL CODE E34,,,45.38,816.84,"2015,18"
88,CHKING/SAVING ********,,,14,280,"2015,18"
