code,description,hours_pp,hours_ytd,amount_pp,amount_ytd,pay_period
75,RETIREMENT,,,142.14,"2,125.68","2018,13"
75,ROTH TSP-FERS,,,161.52,"2,415.52","2018,13"
76,SOCIAL SECURITY (OASDI),,,199.27,"2,980.07","2018,13"
77,FEDERAL TAX EXEMPTS S01,,,492.73,"7,543.05","2018,13"
78,ST TAX DC EXEMPTS 000,,,213.93,"3,196.65","2018,13"
83,FEHBA - ENROLL CODE E34,,,58.26,869.08,"2018,13"
83,DENTAL PLAN,,,16.4,245.16,"2018,13"
88,CHKING/SAVING ********,,,20,282,"2018,13"
97,MEDICARE TAX WITHHELD,,,46.6,696.9,"2018,13"
1,REGULAR TIME,80,"1,036.50","3,334.40","41,881.18","2018,14"
50,CREDIT HOURS,,51.5,,"2,057.75","2018,14"
61,ANNUAL LEAVE,,105.25,,"4,220.65","2018,14"
62,SICK LEAVE,,9.75,,393.71,"2018,14"
66,OTHER LEAVE,,77,,"3,091.51","2018,14"
75,RETIREMENT,,,146.71,"2,272.39","2018,14"
75,ROTH TSP-FERS,,,166.72,"2,582.24","2018,14"
76,SOCIAL SECURITY (OASDI),,,205.72,"3,185.79","2018,14"
77,FEDERAL TAX EXEMPTS S01,,,515.61,"8,058.66","2018,14"
78,ST TAX DC EXEMPTS 000,,,222.77,"3,419.42","2018,14"
83,FEHBA - ENROLL CODE E34,,,58.26,927.34,"2018,14"
83,DENTAL PLAN,,,16.4,261.56,"2018,14"
88,CHKING/SAVING ********,,,20,302,"2018,14"
97,MEDICARE TAX WITHHELD,,,48.11,745.01,"2018,14"
1,REGULAR TIME,80,"1,116.50","3,334.40","45,215.58","2018,15"
50,CREDIT HOURS,,51.5,,"2,057.75","2018,15"
61,ANNUAL LEAVE,,105.25,,"4,220.65","2018,15"
62,SICK LEAVE,,9.75,,393.71,"2018,15"
66,OTHER LEAVE,,77,,"3,091.51","2018,15"
75,RETIREMENT,,,146.71,"2,419.10","2018,15"
75,ROTH TSP-FERS,,,166.72,"2,748.96","2018,15"
76,SOCIAL SECURITY (OASDI),,,205.72,"3,391.51","2018,15"
77,FEDERAL TAX EXEMPTS S01,,,515.61,"8,574.27","2018,15"
78,ST TAX DC EXEMPTS 000,,,222.77,"3,642.19","2018,15"
83,FEHBA - ENROLL CODE E34,,,58.26,985.6,"2018,15"
83,DENTAL PLAN,,,16.4,277.96,"2018,15"
88,CHKING/SAVING ********,,,20,322,"2018,15"
97,MEDICARE TAX WITHHELD,,,48.11,793.12,"2018,15"
1,REGULAR TIME,56,"1,172.50","2,334.08","47,549.66","2018,16"
50,CREDIT HOURS,,51.5,,"2,057.75","2018,16"
61,ANNUAL LEAVE,24,129.25,"1,000.32","5,220.97","2018,16"
62,SICK LEAVE,,9.75,,393.71,"2018,16"
66,OTHER LEAVE,,77,,"3,091.51","2018,16"
75,RETIREMENT,,,146.71,"2,565.81","2018,16"
75,ROTH TSP-FERS,,,166.72,"2,915.68","2018,16"
76,SOCIAL SECURITY (OASDI),,,205.72,"3,597.23","2018,16"
77,FEDERAL TAX EXEMPTS S01,,,515.61,"9,089.88","2018,16"
78,ST TAX DC EXEMPTS 000,,,222.77,"3,864.96","2018,16"
83,FEHBA - ENROLL CODE E34,,,58.26,"1,043.86","2018,16"
83,DENTAL PLAN,,,16.4,294.36,"2018,16"
88,CHKING/SAVING ********,,,20,342,"2018,16"
97,MEDICARE TAX WITHHELD,,,48.11,841.23,"2018,16"
1,REGULAR TIME,80,"1,252.50","3,334.40","50,884.06","2018,17"
50,CREDIT HOURS,,51.5,,"2,057.75","2018,17"
61,ANNUAL LEAVE,,129.25,,"5,220.97","2018,17"
62,SICK LEAVE,,9.75,,393.71,"2018,17"
66,OTHER LEAVE,,77,,"3,091.51","2018,17"
75,RETIREMENT,,,146.71,"2,712.52","2018,17"
75,ROTH TSP-FERS,,,166.72,"3,082.40","2018,17"
76,SOCIAL SECURITY (OASDI),,,205.72,"3,802.95","2018,17"
77,FEDERAL TAX EXEMPTS S01,,,515.61,"9,605.49","2018,17"
78,ST TAX DC EXEMPTS 000,,,222.77,"4,087.73","2018,17"
83,FEHBA - ENROLL CODE E34,,,58.26,"1,102.12","2018,17"
83,DENTAL PLAN,,,16.4,310.76,"2018,17"
88,CHKING/SAVING ********,,,20,362,"2018,17"
97,MEDICARE TAX WITHHELD,,,48.11,889.34,"2018,17"
1,REGULAR TIME,72,"1,324.50","3,000.96","53,885.02","2018,18"
50,CREDIT HOURS,,51.5,,"2,057.75","2018,18"
61,ANNUAL LEAVE,,129.25,,"5,220.97","2018,18"
62,SICK LEAVE,,9.75,,393.71,"2018,18"
66,OTHER LEAVE,8,85,333.44,"3,424.95","2018,18"
75,RETIREMENT,,,146.71,"2,859.23","2018,18"
75,ROTH TSP-FERS,,,166.72,"3,249.12","2018,18"
76,SOCIAL SECURITY (OASDI),,,205.72,"4,008.67","2018,18"
77,FEDERAL TAX EXEMPTS S01,,,515.61,"10,121.10","2018,18"
78,ST TAX DC EXEMPTS 000,,,222.77,"4,310.50","2018,18"
83,FEHBA - ENROLL CODE E34,,,58.26,"1,160.38","2018,18"
83,DENTAL PLAN,,,16.4,327.16,"2018,18"
88,CHKING/SAVING ********,,,20,382,"2018,18"
97,MEDICARE TAX WITHHELD,,,48.11,937.45,"2018,18"
1,REGULAR TIME,80,"1,404.50","3,334.40","57,219.42","2018,19"
50,CREDIT HOURS,,51.5,,"2,057.75","2018,19"
61,ANNUAL LEAVE,,129.25,,"5,220.97","2018,19"
62,SICK LEAVE,,9.75,,393.71,"2018,19"
66,OTHER LEAVE,,85,,"3,424.95","2018,19"
75,RETIREMENT,,,146.71,"3,005.94","2018,19"
75,ROTH TSP-FERS,,,166.72,"3,415.84","2018,19"
76,SOCIAL SECURITY (OASDI),,,205.72,"4,214.39","2018,19"
77,FEDERAL TAX EXEMPTS S01,,,515.61,"10,636.71","2018,19"
78,ST TAX DC EXEMPTS 000,,,222.77,"4,533.27","2018,19"
83,FEHBA - ENROLL CODE E34,,,58.26,"1,218.64","2018,19"
83,DENTAL PLAN,,,16.4,343.56,"2018,19"
88,CHKING/SAVING ********,,,20,402,"2018,19"
97,MEDICARE TAX WITHHELD,,,48.11,985.56,"2018,19"
1,REGULAR TIME,72,"1,476.50","3,000.96","60,220.38","2018,20"
50,CREDIT HOURS,,51.5,,"2,057.75","2018,20"
61,ANNUAL LEAVE,,129.25,,"5,220.97","2018,20"
62,SICK LEAVE,,9.75,,393.71,"2018,20"
66,OTHER LEAVE,8,93,333.44,"3,758.39","2018,20"
75,RETIREMENT,,,146.71,"3,152.65","2018,20"
75,ROTH TSP-FERS,,,166.72,"3,582.56","2018,20"
76,SOCIAL SECURITY (OASDI),,,205.72,"4,420.11","2018,20"
77,FEDERAL TAX EXEMPTS S01,,,515.61,"11,152.32","2018,20"
78,ST TAX DC EXEMPTS 000,,,222.77,"4,756.04","2018,20"
83,FEHBA - ENROLL CODE E34,,,58.26,"1,276.90","2018,20"
83,DENTAL PLAN,,,16.4,359.96,"2018,20"
88,CHKING/SAVING ********,,,20,422,"2018,20"
97,MEDICARE TAX WITHHELD,,,48.11,"1,033.67","2018,20"
1,REGULAR TIME,80,"1,556.50","3,334.40","63,554.78","2018,21"
50,CREDIT HOURS,,51.5,,"2,057.75","2018,21"
61,ANNUAL LEAVE,,129.25,,"5,220.97","2018,21"
62,SICK LEAVE,,9.75,,393.71,"2018,21"
66,OTHER LEAVE,,93,,"3,758.39","2018,21"
75,RETIREMENT,,,146.71,"3,299.36","2018,21"
75,ROTH TSP-FERS,,,166.72,"3,749.28","2018,21"
76,SOCIAL SECURITY (OASDI),,,205.72,"4,625.83","2018,21"
77,FEDERAL TAX EXEMPTS S01,,,515.61,"11,667.93","2018,21"
78,ST TAX DC EXEMPTS 000,,,222.77,"4,978.81","2018,21"
83,FEHBA - ENROLL CODE E34,,,58.26,"1,335.16","2018,21"
83,DENTAL PLAN,,,16.4,376.36,"2018,21"
88,CHKING/SAVING ********,,,20,442,"2018,21"
97,MEDICARE TAX WITHHELD,,,48.11,"1,081.78","2018,21"
1,REGULAR TIME,64,"1,620.50","2,973.44","66,528.22","2018,22"
50,CREDIT HOURS,,51.5,,"2,057.75","2018,22"
61,ANNUAL LEAVE,16,145.25,743.36,"5,964.33","2018,22"
62,SICK LEAVE,,9.75,,393.71,"2018,22"
66,OTHER LEAVE,,93,,"3,758.39","2018,22"
75,RETIREMENT,,,163.54,"3,462.90","2018,22"
75,ROTH TSP-FERS,,,185.84,"3,935.12","2018,22"
76,SOCIAL SECURITY (OASDI),,,229.42,"4,855.25","2018,22"
77,FEDERAL TAX EXEMPTS S01,,,606.82,"12,274.75","2018,22"
78,ST TAX DC EXEMPTS 000,,,255.27,"5,234.08","2018,22"
83,FEHBA - ENROLL CODE E34,,,58.26,"1,393.42","2018,22"
83,DENTAL PLAN,,,16.4,392.76,"2018,22"
88,CHKING/SAVING ********,,,20,462,"2018,22"
97,MEDICARE TAX WITHHELD,,,53.66,"1,135.44","2018,22"
1,REGULAR TIME,55.25,"1,675.75","2,566.91","69,095.13","2018,23"
44,CASH AWARD,,,"1,756.00","1,756.00","2018,23"
50,CREDIT HOURS,5.75,57.25,267.15,"2,324.90","2018,23"
61,ANNUAL LEAVE,,145.25,,"5,964.33","2018,23"
62,SICK LEAVE,,9.75,,393.71,"2018,23"
66,OTHER LEAVE,19,112,882.74,"4,641.13","2018,23"
75,RETIREMENT,,,163.54,"3,626.44","2018,23"
75,ROTH TSP-FERS,,,185.84,"4,120.96","2018,23"
76,SOCIAL SECURITY (OASDI),,,338.29,"5,193.54","2018,23"
77,FEDERAL TAX EXEMPTS S01,,,993.14,"13,267.89","2018,23"
78,ST TAX DC EXEMPTS 000,,,354.6,"5,588.68","2018,23"
83,FEHBA - ENROLL CODE E34,,,58.26,"1,451.68","2018,23"
83,DENTAL PLAN,,,16.4,409.16,"2018,23"
88,CHKING/SAVING ********,,,20,482,"2018,23"
97,MEDICARE TAX WITHHELD,,,79.12,"1,214.56","2018,23"
1,REGULAR TIME,72,"1,747.75","3,345.12","72,440.25","2018,24"
44,CASH AWARD,,,,"1,756.00","2018,24"
50,CREDIT HOURS,,57.25,,"2,324.90","2018,24"
61,ANNUAL LEAVE,,145.25,,"5,964.33","2018,24"
62,SICK LEAVE,,9.75,,393.71,"2018,24"
66,OTHER LEAVE,8,120,371.68,"5,012.81","2018,24"
75,RETIREMENT,,,163.54,"3,789.98","2018,24"
75,ROTH TSP-FERS,,,185.84,"4,306.80","2018,24"
76,SOCIAL SECURITY (OASDI),,,229.42,"5,422.96","2018,24"
77,FEDERAL TAX EXEMPTS S01,,,606.82,"13,874.71","2018,24"
78,ST TAX DC EXEMPTS 000,,,255.27,"5,843.95","2018,24"
83,FEHBA - ENROLL CODE E34,,,58.26,"1,509.94","2018,24"
83,DENTAL PLAN,,,16.4,425.56,"2018,24"
88,CHKING/SAVING ********,,,20,502,"2018,24"
97,MEDICARE TAX WITHHELD,,,53.66,"1,268.22","2018,24"
1,REGULAR TIME,26,"1,773.75","1,207.96","73,648.21","2018,25"
44,CASH AWARD,,,,"1,756.00","2018,25"
50,CREDIT HOURS,,57.25,,"2,324.90","2018,25"
61,ANNUAL LEAVE,40,185.25,"1,858.40","7,822.73","2018,25"
62,SICK LEAVE,14,23.75,650.44,"1,044.15","2018,25"
66,OTHER LEAVE,,120,,"5,012.81","2018,25"
75,RETIREMENT,,,163.54,"3,953.52","2018,25"
75,ROTH TSP-FERS,,,185.84,"4,492.64","2018,25"
76,SOCIAL SECURITY (OASDI),,,229.42,"5,652.38","2018,25"
77,FEDERAL TAX EXEMPTS S01,,,606.82,"14,481.53","2018,25"
78,ST TAX DC EXEMPTS 000,,,255.27,"6,099.22","2018,25"
83,FEHBA - ENROLL CODE E34,,,58.26,"1,568.20","2018,25"
83,DENTAL PLAN,,,16.4,441.96,"2018,25"
88,CHKING/SAVING ********,,,20,522,"2018,25"
97,MEDICARE TAX WITHHELD,,,53.66,"1,321.88","2018,25"
1,REGULAR TIME,54,54,"2,508.84","2,508.84","2018,26"
66,OTHER LEAVE,26,26,"1,207.96","1,207.96","2018,26"
75,RETIREMENT,,,163.54,163.54,"2018,26"
75,ROTH TSP-FERS,,,185.84,185.84,"2018,26"
76,SOCIAL SECURITY (OASDI),,,229.42,229.42,"2018,26"
77,FEDERAL TAX EXEMPTS S01,,,590.19,590.19,"2018,26"
78,ST TAX DC EXEMPTS 000,,,253,253,"2018,26"
83,FEHBA - ENROLL CODE E34,,,58.26,58.26,"2018,26"
83,DENTAL PLAN,,,16.4,16.4,"2018,26"
88,CHKING/SAVING ********,,,20,20,"2018,26"
97,MEDICARE TAX WITHHELD,,,53.66,53.66,"2018,26"
1,REGULAR TIME,72,126,"3,345.12","5,853.96","2019,01"
66,OTHER LEAVE,8,34,371.68,"1,579.64","2019,01"
75,RETIREMENT,,,163.54,327.08,"2019,01"
75,ROTH TSP-FERS,,,185.84,371.68,"2019,01"
76,SOCIAL SECURITY (OASDI),,,229.41,458.83,"2019,01"
77,FEDERAL TAX EXEMPTS S01,,,590.15,"1,180.34","2019,01"
78,ST TAX DC EXEMPTS 000,,,252.98,505.98,"2019,01"
83,FEHBA - ENROLL CODE E34,,,60.2,118.46,"2019,01"
83,DENTAL PLAN,,,16.56,32.96,"2019,01"
88,CHKING/SAVING ********,,,20,40,"2019,01"
97,MEDICARE TAX WITHHELD,,,53.65,107.31,"2019,01"
1,REGULAR TIME,70,196,"3,252.20","9,106.16","2019,02"
66,OTHER LEAVE,10,44,464.6,"2,044.24","2019,02"
75,RETIREMENT,,,163.54,490.62,"2019,02"
75,ROTH TSP-FERS,,,185.84,557.52,"2019,02"
76,SOCIAL SECURITY (OASDI),,,229.41,688.24,"2019,02"
77,FEDERAL TAX EXEMPTS S01,,,590.15,"1,770.49","2019,02"
78,ST TAX DC EXEMPTS 000,,,252.98,758.96,"2019,02"
83,FEHBA - ENROLL CODE E34,,,60.2,178.66,"2019,02"
83,DENTAL PLAN,,,16.56,49.52,"2019,02"
88,CHKING/SAVING ********,,,20,60,"2019,02"
97,MEDICARE TAX WITHHELD,,,53.65,160.96,"2019,02"
1,REGULAR TIME,77.5,273.5,"3,600.65","12,706.81","2019,03"
50,CREDIT HOURS,2.5,2.5,116.15,116.15,"2019,03"
66,OTHER LEAVE,,44,,"2,044.24","2019,03"
75,RETIREMENT,,,163.54,654.16,"2019,03"
75,ROTH TSP-FERS,,,185.84,743.36,"2019,03"
76,SOCIAL SECURITY (OASDI),,,229.41,917.65,"2019,03"
77,FEDERAL TAX EXEMPTS S01,,,590.15,"2,360.64","2019,03"
78,ST TAX DC EXEMPTS 000,,,252.98,"1,011.94","2019,03"
83,FEHBA - ENROLL CODE E34,,,60.2,238.86,"2019,03"
83,DENTAL PLAN,,,16.56,66.08,"2019,03"
88,CHKING/SAVING ********,,,20,80,"2019,03"
97,MEDICARE TAX WITHHELD,,,53.65,214.61,"2019,03"
1,REGULAR TIME,64,337.5,"2,973.44","15,680.25","2019,04"
50,CREDIT HOURS,,2.5,,116.15,"2019,04"
66,OTHER LEAVE,16,60,743.36,"2,787.60","2019,04"
75,RETIREMENT,,,163.54,817.7,"2019,04"
75,ROTH TSP-FERS,,,185.84,929.2,"2019,04"
76,SOCIAL SECURITY (OASDI),,,229.41,"1,147.06","2019,04"
77,FEDERAL TAX EXEMPTS S01,,,590.15,"2,950.79","2019,04"
78,ST TAX DC EXEMPTS 000,,,252.98,"1,264.92","2019,04"
83,FEHBA - ENROLL CODE E34,,,60.2,299.06,"2019,04"
83,DENTAL PLAN,,,16.56,82.64,"2019,04"
88,CHKING/SAVING ********,,,20,100,"2019,04"
97,MEDICARE TAX WITHHELD,,,53.65,268.26,"2019,04"
1,REGULAR TIME,80,417.5,"3,716.80","19,397.05","2019,05"
50,CREDIT HOURS,,2.5,,116.15,"2019,05"
66,OTHER LEAVE,,60,,"2,787.60","2019,05"
75,RETIREMENT,,,163.54,981.24,"2019,05"
75,ROTH TSP-FERS,,,185.84,"1,115.04","2019,05"
76,SOCIAL SECURITY (OASDI),,,229.41,"1,376.47","2019,05"
77,FEDERAL TAX EXEMPTS S01,,,590.15,"3,540.94","2019,05"
78,ST TAX DC EXEMPTS 000,,,252.98,"1,517.90","2019,05"
83,FEHBA - ENROLL CODE E34,,,60.2,359.26,"2019,05"
83,DENTAL PLAN,,,16.56,99.2,"2019,05"
88,CHKING/SAVING ********,,,20,120,"2019,05"
97,MEDICARE TAX WITHHELD,,,53.65,321.91,"2019,05"
1,REGULAR TIME,74.5,492,"3,461.27","22,858.32","2019,06"
50,CREDIT HOURS,5.5,8,255.53,371.68,"2019,06"
66,OTHER LEAVE,,60,,"2,787.60","2019,06"
75,RETIREMENT,,,163.54,"1,144.78","2019,06"
75,ROTH TSP-FERS,,,185.84,"1,300.88","2019,06"
76,SOCIAL SECURITY (OASDI),,,229.41,"1,605.88","2019,06"
77,FEDERAL TAX EXEMPTS S01,,,590.15,"4,131.09","2019,06"
78,ST TAX DC EXEMPTS 000,,,252.98,"1,770.88","2019,06"
83,FEHBA - ENROLL CODE E34,,,60.2,419.46,"2019,06"
83,DENTAL PLAN,,,16.56,115.76,"2019,06"
88,CHKING/SAVING ********,,,20,140,"2019,06"
97,MEDICARE TAX WITHHELD,,,53.65,375.56,"2019,06"
1,REGULAR TIME,77.5,569.5,"4,147.08","27,005.40","2019,07"
50,CREDIT HOURS,2.5,10.5,127.28,498.96,"2019,07"
66,OTHER LEAVE,,60,36.04,"2,823.64","2019,07"
75,RETIREMENT,,,189.65,"1,334.43","2019,07"
75,ROTH TSP-FERS,,,215.52,"1,516.40","2019,07"
76,SOCIAL SECURITY (OASDI),,,266.23,"1,872.11","2019,07"
77,FEDERAL TAX EXEMPTS S01,,,732.61,"4,863.70","2019,07"
78,ST TAX DC EXEMPTS 000,,,303.45,"2,074.33","2019,07"
83,FEHBA - ENROLL CODE E34,,,60.2,479.66,"2019,07"
83,DENTAL PLAN,,,16.56,132.32,"2019,07"
88,CHKING/SAVING ********,,,20,160,"2019,07"
97,MEDICARE TAX WITHHELD,,,62.26,437.82,"2019,07"
1,REGULAR TIME,80,649.5,"3,801.60","30,807.00","2019,08"
50,CREDIT HOURS,,10.5,,498.96,"2019,08"
66,OTHER LEAVE,,60,,"2,823.64","2019,08"
75,RETIREMENT,,,167.27,"1,501.70","2019,08"
75,ROTH TSP-FERS,,,190.08,"1,706.48","2019,08"
76,SOCIAL SECURITY (OASDI),,,234.67,"2,106.78","2019,08"
77,FEDERAL TAX EXEMPTS S01,,,610.51,"5,474.21","2019,08"
78,ST TAX DC EXEMPTS 000,,,260.19,"2,334.52","2019,08"
83,FEHBA - ENROLL CODE E34,,,60.2,539.86,"2019,08"
83,DENTAL PLAN,,,16.56,148.88,"2019,08"
88,CHKING/SAVING ********,,,20,180,"2019,08"
97,MEDICARE TAX WITHHELD,,,54.88,492.7,"2019,08"
1,REGULAR TIME,80,729.5,"3,801.60","34,608.60","2019,09"
50,CREDIT HOURS,,10.5,,498.96,"2019,09"
66,OTHER LEAVE,,60,,"2,823.64","2019,09"
75,RETIREMENT,,,167.27,"1,668.97","2019,09"
75,ROTH TSP-FERS,,,190.08,"1,896.56","2019,09"
76,SOCIAL SECURITY (OASDI),,,234.67,"2,341.45","2019,09"
77,FEDERAL TAX EXEMPTS S01,,,610.51,"6,084.72","2019,09"
78,ST TAX DC EXEMPTS 000,,,260.19,"2,594.71","2019,09"
83,FEHBA - ENROLL CODE E34,,,60.2,600.06,"2019,09"
83,DENTAL PLAN,,,16.56,165.44,"2019,09"
88,CHKING/SAVING ********,,,20,200,"2019,09"
97,MEDICARE TAX WITHHELD,,,54.88,547.58,"2019,09"
1,REGULAR TIME,68,797.5,"3,231.36","37,839.96","2019,10"
50,CREDIT HOURS,2,12.5,95.04,594,"2019,10"
61,ANNUAL LEAVE,8,8,380.16,380.16,"2019,10"
66,OTHER LEAVE,2,62,95.04,"2,918.68","2019,10"
75,RETIREMENT,,,167.27,"1,836.24","2019,10"
75,ROTH TSP-FERS,,,190.08,"2,086.64","2019,10"
76,SOCIAL SECURITY (OASDI),,,234.67,"2,576.12","2019,10"
77,FEDERAL TAX EXEMPTS S01,,,610.51,"6,695.23","2019,10"
78,ST TAX DC EXEMPTS 000,,,260.19,"2,854.90","2019,10"
83,FEHBA - ENROLL CODE E34,,,60.2,660.26,"2019,10"
83,DENTAL PLAN,,,16.56,182,"2019,10"
88,CHKING/SAVING ********,,,20,220,"2019,10"
97,MEDICARE TAX WITHHELD,,,54.88,602.46,"2019,10"
1,REGULAR TIME,65.5,863,"3,112.56","40,952.52","2019,11"
50,CREDIT HOURS,6.5,19,308.88,902.88,"2019,11"
61,ANNUAL LEAVE,,8,,380.16,"2019,11"
66,OTHER LEAVE,8,70,380.16,"3,298.84","2019,11"
75,RETIREMENT,,,167.27,"2,003.51","2019,11"
75,ROTH TSP-FERS,,,190.08,"2,276.72","2019,11"
76,SOCIAL SECURITY (OASDI),,,234.67,"2,810.79","2019,11"
77,FEDERAL TAX EXEMPTS S01,,,610.51,"7,305.74","2019,11"
78,ST TAX DC EXEMPTS 000,,,260.19,"3,115.09","2019,11"
83,FEHBA - ENROLL CODE E34,,,60.2,720.46,"2019,11"
83,DENTAL PLAN,,,16.56,198.56,"2019,11"
88,CHKING/SAVING ********,,,20,240,"2019,11"
97,MEDICARE TAX WITHHELD,,,54.88,657.34,"2019,11"
1,REGULAR TIME,70,933,"3,326.40","44,278.92","2019,12"
50,CREDIT HOURS,2,21,95.04,997.92,"2019,12"
61,ANNUAL LEAVE,8,16,380.16,760.32,"2019,12"
66,OTHER LEAVE,,70,,"3,298.84","2019,12"
75,RETIREMENT,,,167.27,"2,170.78","2019,12"
75,ROTH TSP-FERS,,,190.08,"2,466.80","2019,12"
76,SOCIAL SECURITY (OASDI),,,234.67,"3,045.46","2019,12"
77,FEDERAL TAX EXEMPTS S01,,,610.51,"7,916.25","2019,12"
78,ST TAX DC EXEMPTS 000,,,260.19,"3,375.28","2019,12"
83,FEHBA - ENROLL CODE E34,,,60.2,780.66,"2019,12"
83,DENTAL PLAN,,,16.56,215.12,"2019,12"
88,CHKING/SAVING ********,,,20,260,"2019,12"
97,MEDICARE TAX WITHHELD,,,54.88,712.22,"2019,12"
